feature,missingness_before_cleaning_pct,missingness_after_cleaning_pct,biomarker,flag_gt_20pct_before,flag_gt_20pct_after,missingness_delta_pct_points
AK gegen RO-52,100.0,,AK gegen RO-52,True,False,
LKM (<1:80),100.0,,LKM (<1:80),True,False,
IgG4 ( 0.052-1.25g/dl),100.0,,IgG4 ( 0.052-1.25g/dl),True,False,
Jahr (externe Tabelle),100.0,,Jahr (externe Tabelle),True,False,
M2-AK,100.0,,M2-AK,True,False,
F-Aktin-AK,100.0,,F-Aktin-AK,True,False,
Transglutaminase-AK IgA (<7 U/ml),100.0,,Transglutaminase-AK IgA (<7 U/ml),True,False,
Transglutaminase-AK IgG (<7 U/ml),100.0,,Transglutaminase-AK IgG (<7 U/ml),True,False,
Unnamed: 56,100.0,,Unnamed: 56,True,False,
Unnamed: 63,100.0,,Unnamed: 63,True,False,
jeweils Zirrhose ja/nein,100.0,,jeweils Zirrhose ja/nein,True,False,
SMA (<1:80),100.0,,SMA (<1:80),True,False,
SLA-AK (<20 rel. U/ml),100.0,,SLA-AK (<20 rel. U/ml),True,False,
gp210-AK,100.0,,gp210-AK,True,False,
SP100-AK (PBC),100.0,,SP100-AK (PBC),True,False,
verstorben? (ja/nein),93.49,,verstorben? (ja/nein),True,False,
IgG (g/l),74.27,74.01,IgG (g/l),True,True,-0.2599999999999909
löslicher Leberspez. AG-Ak,72.31,,löslicher Leberspez. AG-Ak,True,False,
Lebermembran,71.66,,Lebermembran,True,False,
glatte Muskulatur-AK,69.71,,glatte Muskulatur-AK,True,False,
Leber-Niere-Mikrosomen-AK,69.38,,Leber-Niere-Mikrosomen-AK,True,False,
Anca,68.4,,Anca,True,False,
AMA (<1:80),65.47,,AMA (<1:80),True,False,
ANA (<1:80),62.21,,ANA (<1:80),True,False,
LDL- Cholesterin (mg/dL),38.44,,LDL- Cholesterin (mg/dL),True,False,
GRF (berechnet) (ml/min),37.13,49.01,GRF (berechnet) (ml/min),True,True,11.879999999999995
Patho Befundd,28.66,,Patho Befundd,True,False,
Eingangsnummer Patho ,28.34,,Eingangsnummer Patho ,True,False,
HbA1c (%),28.01,29.61,HbA1c (%),True,True,1.5999999999999979
Albumin (g/l),22.8,22.04,Albumin (g/l),True,True,-0.7600000000000016
Macro,19.54,,Macro,False,False,
Harnstoff,18.24,17.43,Harnstoff,False,False,-0.8099999999999987
PTT (sek),16.94,16.78,PTT (sek),False,False,-0.16000000000000014
Glucose in plasma (mg/dL),12.05,,Glucose in plasma (mg/dL),False,False,
Kalium,11.07,10.2,Kalium,False,False,-0.870000000000001
Bilddaten,9.45,,Bilddaten,False,False,
Bilrubin gesamt (mg/dl),8.14,7.24,Bilrubin gesamt (mg/dl),False,False,-0.9000000000000004
AP (U/I),7.17,6.58,AP (U/I),False,False,-0.5899999999999999
Kreatinin (mg/dl),6.19,5.26,Kreatinin (mg/dl),False,False,-0.9300000000000006
ASAT (U/I),5.86,5.59,ASAT (U/I),False,False,-0.27000000000000046
GGT (U/I),4.89,4.28,GGT (U/I),False,False,-0.6099999999999994
ALAT (U/I),3.91,3.62,ALAT (U/I),False,False,-0.29000000000000004
INR,2.61,1.64,INR,False,False,-0.97
Quick (%),2.61,1.97,Quick (%),False,False,-0.6399999999999999
MCV (fl),1.63,0.66,MCV (fl),False,False,-0.9699999999999999
Thrombozyten (Mrd/l),1.63,0.66,Thrombozyten (Mrd/l),False,False,-0.9699999999999999
Leukozyten (Mrd/l),1.63,0.66,Leukozyten (Mrd/l),False,False,-0.9699999999999999
Hb (g/dl),1.3,0.66,Hb (g/dl),False,False,-0.64
sonstige Vorerkankungen,0.33,,sonstige Vorerkankungen,False,False,
Age,0.0,0.0,Age,False,False,0.0
Datum letzter Kontakt,0.0,,Datum letzter Kontakt,False,False,
Fibro-Scan,0.0,,Fibro-Scan,False,False,
Fallnummer,0.0,,Fallnummer,False,False,
Geschlecht,0.0,,Geschlecht,False,False,
MA/HH,0.0,,MA/HH,False,False,
Lebererkankung,0.0,,Lebererkankung,False,False,
LAP-Termin,0.0,,LAP-Termin,False,False,
Micro,0.0,0.0,Micro,False,False,0.0
Name,0.0,,Name,False,False,
Nr. (Word-Dokument Mini-Lap-Befund).1,0.0,,Nr. (Word-Dokument Mini-Lap-Befund).1,False,False,
Nr. (Word-Dokument Mini-Lap-Befund),0.0,,Nr. (Word-Dokument Mini-Lap-Befund),False,False,
Mini-Lap-Befund,0.0,,Mini-Lap-Befund,False,False,
Patientennummer,0.0,,Patientennummer,False,False,
Name.1,0.0,,Name.1,False,False,
Vorname.1,0.0,,Vorname.1,False,False,
Vorname,0.0,,Vorname,False,False,
biopsy_date_dt,0.0,,biopsy_date_dt,False,False,
abs_time_to_biopsy_days,0.0,,abs_time_to_biopsy_days,False,False,
lab_date_dt,0.0,,lab_date_dt,False,False,
time_to_biopsy_days,0.0,,time_to_biopsy_days,False,False,
